id;tmdb;title;genres;popularity;year;runtime;cast;keywords;similar
15;703;Annie Hall;['Comedy', 'Drama', 'Romance'];20;1977;93;['Woody Allen', 'Diane Keaton', 'Tony Roberts'];[];[929170, 22579, 22584]
99;303;Notorious;['Thriller', 'Romance', 'Mystery'];16;1946;103;['Cary Grant', 'Ingrid Bergman', 'Claude Rains'];[];[6521, 9008, 9039]
88;70;Million Dollar Baby;['Drama'];35;2004;132;['Clint Eastwood', 'Hilary Swank', 'Morgan Freeman'];[];[243629, 243672, 6414]
61;288;High Noon;['Western', 'Thriller'];15;1952;85;['Gary Cooper', 'Thomas Mitchell', 'Lloyd Bridges'];[];[252639, 11549, 11560]
6;702;A Streetcar Named Desire;['Drama', 'Thriller'];21;1951;125;['Vivien Leigh', 'Marlon Brando', 'Kim Hunter'];[];[8937, 8967, 8999]
9;143;All Quiet on the Western Front;['Drama', 'War'];20;1930;133;['Louis Wolheim', 'Lew Ayres', 'John Wray'];[];[911598, 572488, 736285]
124;805;Rosemary's Baby;['Drama', 'Horror', 'Thriller'];25;1968;138;['Mia Farrow', 'John Cassavetes', 'Ruth Gordon'];[];[263341, 263371, 22614]
60;949;Heat;['Crime', 'Drama', 'Action'];45;1995;170;['Al Pacino', 'Robert De Niro', 'Val Kilmer'];[];[252692, 11540, 11560]
123;1580;Rope;['Thriller', 'Crime', 'Drama'];15;1948;81;['John Dall', 'Farley Granger', 'James Stewart'];[];[6521, 6536, 8967]
145;74643;The Artist;['Drama', 'Comedy', 'Romance'];15;2011;100;['Jean Dujardin', 'Bérénice Bejo', 'John Goodman'];[];[243690, 1077271, 6365]
159;962;The Gold Rush;['Adventure', 'Comedy', 'Drama'];14;1925;95;['Charlie Chaplin', 'Mack Swain', 'Tom Murray'];[];[252656, 252735, 11560]
132;993;Sleuth;['Thriller', 'Mystery', 'Crime'];9;1972;138;['Laurence Olivier', 'Michael Caine', 'Alec Cawthorne'];[];[263472, 263522, 1094287]
31;598;Cidade de Deus;['Drama', 'Crime'];43;2002;129;['Alexandre Rodrigues', 'Leandro Firmino', 'Phellipe Haagensen'];[];[1082942, 11532, 11545]
51;783;Gandhi;['Drama', 'History'];13;1982;191;['Ben Kingsley', 'Candice Bergen', 'Edward Fox'];[];[409398, 409502, 6443]
134;107;Snatch;['Crime', 'Comedy'];55;2000;103;['Brad Pitt', 'Jason Statham', 'Alan Ford'];[];[263336, 263339, 22642]
66;46738;Incendies;['Drama', 'War', 'Mystery'];22;2010;131;['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette'];[];[263393, 930383, 264467]
80;2118;L.A. Confidential;['Crime', 'Mystery', 'Thriller'];22;1997;138;['Guy Pearce', 'Russell Crowe', 'Kevin Spacey'];[];[427822, 22657, 22681]
143;280;Terminator 2: Judgment Day;['Action', 'Thriller', 'Science Fiction'];69;1991;137;['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong'];[];[263472, 590003, 24196]
23;665;Ben-Hur;['History', 'Drama', 'Adventure'];56;1959;222;['Charlton Heston', 'Stephen Boyd', 'Hugh Griffith'];[];[263336, 263341, 263371]
77;329;Jurassic Park;['Adventure', 'Science Fiction'];41;1993;127;['Sam Neill', 'Laura Dern', 'Jeff Goldblum'];[];[246491, 9053, 9103]
17;212;Arsenic and Old Lace;['Comedy', 'Crime'];10;1944;118;['Cary Grant', 'Priscilla Lane', 'Josephine Hull'];[];[22578, 22588, 22642]
98;213;North by Northwest;['Thriller', 'Adventure'];26;1959;136;['Cary Grant', 'Eva Marie Saint', 'James Mason'];[];[409456, 6479, 6521]
58;12445;Harry Potter and the Deathly Hallows: Part 2;['Fantasy', 'Adventure'];143;2011;130;['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint'];[];[22584, 429144, 24951]
56;13223;Gran Torino;['Drama'];23;2008;116;['Clint Eastwood', 'Christopher Carley', 'Bee Vang'];[];[243684, 409460, 8954]
40;996;Double Indemnity;['Crime', 'Thriller'];16;1944;107;['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson'];[];[6536, 8952, 8983]
96;10774;Network;['Drama'];17;1976;122;['Faye Dunaway', 'William Holden', 'Peter Finch'];[];[409447, 6440, 6479]
78;81;風の谷のナウシカ;['Adventure', 'Animation', 'Fantasy'];37;1984;117;['Sumi Shimamoto', 'Ichiro Nagai', 'Gorō Naya'];[];[409421, 572616, 572647]
